Date,Series,Exam Board,Qualification,Code,Subject,Paper,Time,Length
06/05/2023,Jun-23,OCR ,A Level,H173/06 ,(Religious Studies) ,Developments in Buddhist thought - Written Paper ,Afternoon,1h 15m 
06/05/2023,Jun-23,OCR ,A Level,H173/07 ,(Religious Studies) ,Developments in Hindu thought - Written Paper ,Afternoon,1h 15m 
5/16/2023,Jun-23,OCR ,A Level,H180/01 ,(Sociology) ,Socialisation culture and identity - Written Paper ,Morning,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H180/02 ,(Sociology) ,Researching and understanding social inequalities - Written Paper ,Morning,1h 30m 
5/18/2023,Jun-23,OCR ,A Level,H230/01 ,(Mathematics A) ,Pure Mathematics and Statistics - Written Paper ,Afternoon,1h 30m 
5/25/2023,Jun-23,OCR ,A Level,H230/02 ,(Mathematics A) ,Pure Mathematics and Mechanics - Written Paper ,Afternoon,1h 30m 
06/06/2023,Jun-23,OCR ,A Level,H240/01 ,(Mathematics A) ,Pure Mathematics - Written Paper ,Afternoon,2h 00m 
6/13/2023,Jun-23,OCR ,A Level,H240/02 ,(Mathematics A) ,Pure Mathematics and Statistics - Written Paper ,Afternoon,2h 00m 
6/20/2023,Jun-23,OCR ,A Level,H240/03 ,(Mathematics A) ,Pure Mathematics and Mechanics - Written Paper ,Afternoon,2h 00m 
06/07/2023,Jun-23,OCR ,A Level,H404/01 ,(Design and Technology: Design Engineering) ,Principles of Design Engineering - Written Paper ,Afternoon,1h 30m 
6/16/2023,Jun-23,OCR ,A Level,H404/02 ,(Design and Technology: Design Engineering) ,Problem Solving in Design Engineering - Written Paper ,Morning,1h 45m 
06/07/2023,Jun-23,OCR ,A Level,H405/01 ,(Design and Technology: Fashion and Textiles) ,Principles of Fashion and Textiles - Written Paper ,Afternoon,1h 30m 
6/16/2023,Jun-23,OCR ,A Level,H405/02 ,(Design and Technology: Fashion and Textiles) ,Problem Solving in Fashion and Textiles - Written Paper ,Morning,1h 45m 
06/07/2023,Jun-23,OCR ,A Level,H406/01 ,(Design and Technology: Product Design) ,Principles of Product Design - Written Paper ,Afternoon,1h 30m 
6/16/2023,Jun-23,OCR ,A Level,H406/02 ,(Design and Technology: Product Design) ,Problem Solving in Product Design - Written Paper ,Morning,1h 45m 
5/23/2023,Jun-23,OCR ,A Level,H407/11 ,(Ancient History) ,Sparta and the Greek world - Written Paper ,Morning,2h 30m 
5/23/2023,Jun-23,OCR ,A Level,H407/12 ,(Ancient History) ,Athens and the Greek world - Written Paper ,Morning,2h 30m 
5/23/2023,Jun-23,OCR ,A Level,H407/13 ,(Ancient History) ,Macedon and the Greek world - Written Paper ,Morning,2h 30m 
06/05/2023,Jun-23,OCR ,A Level,H407/21 ,(Ancient History) ,Republic and Empire - Written Paper ,Morning,2h 30m 
06/05/2023,Jun-23,OCR ,A Level,H407/22 ,(Ancient History) ,The Eleven Caesars - Written Paper ,Morning,2h 30m 
06/05/2023,Jun-23,OCR ,A Level,H407/23 ,(Ancient History) ,Emperors and Empire - Written Paper ,Morning,2h 30m 
5/16/2023,Jun-23,OCR ,A Level,H408/11 ,(Classical Civilisation) ,The World of the Hero - Written Paper ,Afternoon,2h 20m 
5/23/2023,Jun-23,OCR ,A Level,H408/21 ,(Classical Civilisation) ,Greek Theatre - Written Paper ,Afternoon,1h 45m 
5/23/2023,Jun-23,OCR ,A Level,H408/22 ,(Classical Civilisation) ,Imperial Image - Written Paper ,Afternoon,1h 45m 
5/23/2023,Jun-23,OCR ,A Level,H408/23 ,(Classical Civilisation) ,Invention of the Barbarian - Written Paper ,Afternoon,1h 45m 
5/23/2023,Jun-23,OCR ,A Level,H408/24 ,(Classical Civilisation) ,Greek Art - Written Paper ,Afternoon,1h 45m 
06/06/2023,Jun-23,OCR ,A Level,H408/31 ,(Classical Civilisation) ,Greek Religion - Written Paper ,Afternoon,1h 45m 
06/06/2023,Jun-23,OCR ,A Level,H408/32 ,(Classical Civilisation) ,Love and Relationships - Written Paper ,Afternoon,1h 45m 
06/06/2023,Jun-23,OCR ,A Level,H408/33 ,(Classical Civilisation) ,Politics of the Late Republic - Written Paper ,Afternoon,1h 45m 
06/06/2023,Jun-23,OCR ,A Level,H408/34 ,(Classical Civilisation) ,Democracy and the Athenians - Written Paper ,Afternoon,1h 45m 
5/22/2023,Jun-23,OCR ,A Level,H409/01 ,(Media Studies) ,Media messages - Written Paper ,Afternoon,2h 00m 
06/06/2023,Jun-23,OCR ,A Level,H409/02 ,(Media Studies) ,Evolving media - Written Paper ,Afternoon,2h 00m 
5/24/2023,Jun-23,OCR ,A Level,H410/01 ,(Film Studies) ,Film History - Written Paper ,Afternoon,2h 00m 
06/05/2023,Jun-23,OCR ,A Level,H410/02 ,(Film Studies) ,Critical Approaches to Film - Written Paper ,Morning,2h 00m 
06/05/2023,Jun-23,OCR ,A Level,H414/01 ,(Geology) ,Fundamentals of geology - Written Paper ,Morning,2h 15m 
6/13/2023,Jun-23,OCR ,A Level,H414/02 ,(Geology) ,Scientific literacy in geology - Written Paper ,Afternoon,2h 15m 
6/20/2023,Jun-23,OCR ,A Level,H414/03 ,(Geology) ,Practical skills in geology - Written Paper ,Afternoon,1h 30m 
5/26/2023,Jun-23,OCR ,A Level,H418/01 ,(Law) ,The legal system and criminal law - Written Paper ,Morning,2h 00m 
06/06/2023,Jun-23,OCR ,A Level,H418/02 ,(Law) ,Law making and the law of tort - Written Paper ,Afternoon,2h 00m 
06/12/2023,Jun-23,OCR ,A Level,H418/03 ,(Law) ,The nature of law and Human rights - Written Paper ,Morning,2h 00m 
06/12/2023,Jun-23,OCR ,A Level,H418/04 ,(Law) ,The nature of law and the law of contract - Written Paper ,Morning,2h 00m 
06/07/2023,Jun-23,OCR ,A Level,H420/01 ,(Biology A) ,Biological processes - Written Paper ,Afternoon,2h 15m 
6/16/2023,Jun-23,OCR ,A Level,H420/02 ,(Biology A) ,Biological diversity - Written Paper ,Morning,2h 15m 
6/21/2023,Jun-23,OCR ,A Level,H420/03 ,(Biology A) ,Unified biology - Written Paper ,Morning,1h 30m 
06/07/2023,Jun-23,OCR ,A Level,H422/01 ,(Biology B (Advancing Biology)) ,Fundamentals of biology - Written Paper ,Afternoon,2h 15m 
6/16/2023,Jun-23,OCR ,A Level,H422/02 ,(Biology B (Advancing Biology)) ,Scientific literacy in biology - Written Paper ,Morning,2h 15m 
6/21/2023,Jun-23,OCR ,A Level,H422/03 ,(Biology B (Advancing Biology)) ,Practical skills in biology - Written Paper ,Morning,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H431/01 ,(Business) ,Operating in a local business environment - Written Paper ,Morning,2h 00m 
06/07/2023,Jun-23,OCR ,A Level,H431/02 ,(Business) ,The UK business environment ,Morning,2h 00m 
6/14/2023,Jun-23,OCR ,A Level,H431/03 ,(Business) ,The global business environment ,Morning,2h 00m 
06/12/2023,Jun-23,OCR ,A Level,H432/01 ,(Chemistry A) ,Periodic table elements and physical chemistry - Written Paper ,Morning,2h 15m 
6/19/2023,Jun-23,OCR ,A Level,H432/02 ,(Chemistry A) ,Synthesis and analytical techniques - Written Paper ,Afternoon,2h 15m 
6/23/2023,Jun-23,OCR ,A Level,H432/03 ,(Chemistry A) ,Unified chemistry - Written Paper ,Morning,1h 30m 
06/12/2023,Jun-23,OCR ,A Level,H433/01 ,(Chemistry B (Salters)) ,Fundamentals of chemistry - Written Paper ,Morning,2h 15m 
6/19/2023,Jun-23,OCR ,A Level,H433/02 ,(Chemistry B (Salters)) ,Scientific literacy in chemistry - Written Paper ,Afternoon,2h 15m 
6/23/2023,Jun-23,OCR ,A Level,H433/03 ,(Chemistry B (Salters)) ,Practical skills in chemistry - Written Paper ,Morning,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H443/01 ,(Latin) ,Unseen Translation - Written Paper ,Afternoon,1h 45m 
06/05/2023,Jun-23,OCR ,A Level,H443/02 ,(Latin) ,Prose Composition or Comprehension - Written Paper ,Morning,1h 15m 
06/12/2023,Jun-23,OCR ,A Level,H443/03 ,(Latin) ,Prose Literature - Written Paper ,Afternoon,2h 00m 
6/20/2023,Jun-23,OCR ,A Level,H443/04 ,(Latin) ,Verse Literature - Written Paper ,Morning,2h 00m 
5/25/2023,Jun-23,OCR ,A Level,H444/01 ,(Classical Greek) ,Unseen Translation - Written Paper ,Afternoon,1h 45m 
06/09/2023,Jun-23,OCR ,A Level,H444/02 ,(Classical Greek) ,Prose Composition or Comprehension - Written Paper ,Afternoon,1h 15m 
6/15/2023,Jun-23,OCR ,A Level,H444/03 ,(Classical Greek) ,Prose Literature - Written Paper ,Morning,2h 00m 
6/22/2023,Jun-23,OCR ,A Level,H444/04 ,(Classical Greek) ,Verse Literature - Written Paper ,Morning,2h 00m 
06/12/2023,Jun-23,OCR ,A Level,H446/01 ,(Computer Science) ,Computer systems - Written Paper ,Afternoon,2h 30m 
6/19/2023,Jun-23,OCR ,A Level,H446/02 ,(Computer Science) ,Algorithms and programming - Written Paper ,Morning,2h 30m 
06/07/2023,Jun-23,OCR ,A Level,H459/31 ,(Drama and Theatre) ,Analysing Performance - Written Paper ,Afternoon,2h 15m 
6/14/2023,Jun-23,OCR ,A Level,H459/41 ,(Drama and Theatre) ,Deconstructing texts for performance: Antigone - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/42 ,(Drama and Theatre) ,Deconstructing texts for performance: Cloud Nine - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/43 ,(Drama and Theatre) ,Deconstructing texts for performance: Earthquakes in London - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/44 ,(Drama and Theatre) ,Deconstructing texts for performance: Stockholm - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/45 ,(Drama and Theatre) ,Deconstructing texts for performance: Sweeney Todd: The Demon Barber of Fleet Street ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/46 ,(Drama and Theatre) ,Deconstructing texts for performance: The Crucible - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/47 ,(Drama and Theatre) ,Deconstructing texts for performance: The Visit - Written Paper ,Morning,1h 45m 
6/14/2023,Jun-23,OCR ,A Level,H459/48 ,(Drama and Theatre) ,Deconstructing texts for performance: Woza Albert! - Written Paper ,Morning,1h 45m 
5/18/2023,Jun-23,OCR ,A Level,H460/01 ,(Economics) ,Microeconomics - Written Paper ,Morning,2h 00m 
5/22/2023,Jun-23,OCR ,A Level,H460/02 ,(Economics) ,Macroeconomics - Written Paper ,Afternoon,2h 00m 
06/05/2023,Jun-23,OCR ,A Level,H460/03 ,(Economics) ,Themes in economics - Written Paper ,Morning,2h 00m 
5/25/2023,Jun-23,OCR ,A Level,H470/01 ,(English Language) ,Exploring language - Written Paper ,Morning,2h 30m 
06/05/2023,Jun-23,OCR ,A Level,H470/02 ,(English Language) ,Dimensions of linguistic variation - Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,H472/01 ,(English Literature) ,Drama and poetry pre-1900 - Written Paper ,Afternoon,2h 30m 
06/08/2023,Jun-23,OCR ,A Level,H472/02 ,(English Literature) ,Comparative and contextual study - Written Paper ,Morning,2h 30m 
5/25/2023,Jun-23,OCR ,A Level,H474/01 ,(English Language and Literature (EMC)) ,Exploring non-fiction and spoken texts - Written Paper ,Morning,1h 00m 
06/05/2023,Jun-23,OCR ,A Level,H474/02 ,(English Language and Literature (EMC)) ,The language of poetry and plays - Written Paper ,Morning,2h 00m 
6/15/2023,Jun-23,OCR ,A Level,H474/03 ,(English Language and Literature (EMC)) ,Reading as a writer writing as a reader - Written Paper ,Morning,2h 00m 
5/17/2023,Jun-23,OCR ,A Level,H481/01 ,(Geography) ,Physical systems - Written Paper ,Morning,1h 30m 
06/06/2023,Jun-23,OCR ,A Level,H481/02 ,(Geography) ,Human interactions - Written Paper ,Morning,1h 30m 
06/12/2023,Jun-23,OCR ,A Level,H481/03 ,(Geography) ,Geographical debates - Written Paper ,Afternoon,2h 30m 
06/12/2023,Jun-23,OCR ,A Level,H543/05 ,(Music) ,Listening and appraising - Written Paper ,Afternoon,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,H555/01 ,(Physical Education) ,Physiological factors affecting performance - Written Paper ,Afternoon,2h 00m 
06/08/2023,Jun-23,OCR ,A Level,H555/02 ,(Physical Education) ,Psychological factors affecting performance - Written Paper ,Morning,1h 00m 
6/20/2023,Jun-23,OCR ,A Level,H555/03 ,(Physical Education) ,Socio-cultural issues in physical activity and sport - Written Paper ,Morning,1h 00m 
5/24/2023,Jun-23,OCR ,A Level,H556/01 ,(Physics A) ,Modelling physics - Written Paper ,Afternoon,2h 15m 
06/09/2023,Jun-23,OCR ,A Level,H556/02 ,(Physics A) ,Exploring physics - Written Paper ,Morning,2h 15m 
6/15/2023,Jun-23,OCR ,A Level,H556/03 ,(Physics A) ,Unified physics - Written Paper ,Morning,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,H557/01 ,(Physics B (Advancing Physics)) ,Fundamentals of physics - Written Paper ,Afternoon,2h 15m 
06/09/2023,Jun-23,OCR ,A Level,H557/02 ,(Physics B (Advancing Physics)) ,Scientific literacy in physics - Written Paper ,Morning,2h 15m 
6/15/2023,Jun-23,OCR ,A Level,H557/03 ,(Physics B (Advancing Physics)) ,Practical skills in physics - Written Paper ,Morning,1h 30m 
5/19/2023,Jun-23,OCR ,A Level,H567/01 ,(Psychology) ,Research methods - Written Paper ,Morning,2h 00m 
5/25/2023,Jun-23,OCR ,A Level,H567/02 ,(Psychology) ,Psychological themes through core studies - Written Paper ,Afternoon,2h 00m 
06/05/2023,Jun-23,OCR ,A Level,H567/03 ,(Psychology) ,Applied psychology - Written Paper ,Afternoon,2h 00m 
06/12/2023,Jun-23,OCR ,A Level,H573/01 ,(Religious Studies) ,Philosophy of religion - Written Paper ,Morning,2h 00m 
6/19/2023,Jun-23,OCR ,A Level,H573/02 ,(Religious Studies) ,Religion and ethics - Written Paper ,Afternoon,2h 00m 
6/26/2023,Jun-23,OCR ,A Level,H573/03 ,(Religious Studies) ,Developments in Christian thought - Written Paper ,Afternoon,2h 00m 
6/26/2023,Jun-23,OCR ,A Level,H573/04 ,(Religious Studies) ,Developments in Islamic thought - Written Paper ,Afternoon,2h 00m 
6/26/2023,Jun-23,OCR ,A Level,H573/05 ,(Religious Studies) ,Developments in Jewish thought - Written Paper ,Afternoon,2h 00m 
6/26/2023,Jun-23,OCR ,A Level,H573/06 ,(Religious Studies) ,Developments in Buddhist thought - Written Paper ,Afternoon,2h 00m 
6/26/2023,Jun-23,OCR ,A Level,H573/07 ,(Religious Studies) ,Developments in Hindu thought - Written Paper ,Afternoon,2h 00m 
5/22/2023,Jun-23,OCR ,A Level,H580/01 ,(Sociology) ,Socialisation culture and identity - Written Paper ,Morning,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,H580/02 ,(Sociology) ,Researching and understanding social inequalities - Written Paper ,Morning,2h 15m 
6/14/2023,Jun-23,OCR ,A Level,H580/03 ,(Sociology) ,Debates in contemporary society - Written Paper ,Afternoon,2h 15m 
5/18/2023,Jun-23,OCR ,A Level,H630/01 ,(Mathematics B (MEI)) ,Pure Mathematics and Mechanics - Written Paper ,Afternoon,1h 30m 
5/25/2023,Jun-23,OCR ,A Level,H630/02 ,(Mathematics B (MEI)) ,Pure Mathematics and Statistics - Written Paper ,Afternoon,1h 30m 
06/06/2023,Jun-23,OCR ,A Level,H640/01 ,(Mathematics B (MEI)) ,Pure Mathematics and Mechanics - Written Paper ,Afternoon,2h 00m 
6/13/2023,Jun-23,OCR ,A Level,H640/02 ,(Mathematics B (MEI)) ,Pure Mathematics and Statistics - Written Paper ,Afternoon,2h 00m 
6/20/2023,Jun-23,OCR ,A Level,H640/03 ,(Mathematics B (MEI)) ,Pure Mathematics and Comprehension - Written Paper ,Afternoon,2h 00m 
06/09/2023,Jun-23,OCR ,A Level,Y101/01 ,(History) ,Alfred and the Making of England 871-1016:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y102/01 ,(History) ,Anglo-Saxon England and the Norman Conquest 1035-1107:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y103/01 ,(History) ,England 1199-1272:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y104/01 ,(History) ,England 1377-1455:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y105/01 ,(History) ,England 1445-1509: Lancastrians Yorkists and Henry VII:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y106/01 ,(History) ,England 1485-1558: the Early Tudors:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y107/01 ,(History) ,England 1547-1603: the Later Tudors:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y108/01 ,(History) ,The Early Stuarts and the Origins of the Civil War 1603-1660:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y109/01 ,(History) ,The Making of Georgian Britain 1678-c.1760:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y110/01 ,(History) ,From Pitt to Peel: Britain 1783-1853:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y111/01 ,(History) ,Liberals Conservatives and the Rise of Labour 1846-1918:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y112/01 ,(History) ,Britain 1900-1951:Written Paper ,Afternoon,1h 30m 
06/09/2023,Jun-23,OCR ,A Level,Y113/01 ,(History) ,Britain 1930-1997:Written Paper ,Afternoon,1h 30m 
5/17/2023,Jun-23,OCR ,A Level,Y136/01 ,(History) ,England 1485-1558: the Early Tudors:Written Paper ,Afternoon,1h 30m 
5/17/2023,Jun-23,OCR ,A Level,Y137/01 ,(History) ,England 1547-1603: the Later Tudors:Written Paper ,Afternoon,1h 30m 
5/17/2023,Jun-23,OCR ,A Level,Y138/01 ,(History) ,The Early Stuarts and the Origins of the Civil War 1603-1660:Written Paper ,Afternoon,1h 30m 
5/17/2023,Jun-23,OCR ,A Level,Y143/01 ,(History) ,Britain 1930-1997:Written Paper ,Afternoon,1h 30m 
6/13/2023,Jun-23,OCR ,A Level,Y201/01 ,(History) ,The Rise of Islam c.550-750:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y202/01 ,(History) ,Charlemagne 768-814:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y203/01 ,(History) ,The Crusades and the Crusader States 1095-1192:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y204/01 ,(History) ,Genghis Khan and the Explosion from the Steppes c.1167-1405:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y205/01 ,(History) ,Exploration Encounters and Empire 1445-1570:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y206/01 ,(History) ,Spain 1469-1556:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y207/01 ,(History) ,The German Reformation and the Rule of Charles V 1500-1559:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y208/01 ,(History) ,Philip II 1556-1598:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y209/01 ,(History) ,African Kingdoms c.1400-c.1800: four case studies:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y210/01 ,(History) ,Russia 1645-1741:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y211/01 ,(History) ,The Rise and Decline of the Mughal Empire in India 1526-1739:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y212/01 ,(History) ,The American Revolution 1740-1796:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y213/01 ,(History) ,The French Revolution and the Rule of Napoleon 1774-1815:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y214/01 ,(History) ,France 1814-1870:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y215/01 ,(History) ,Italy and Unification 1789-1896:Written Paper ,Morning,1h 00m 
